channel,campaign_name,budget_usd,region
100,Transition e-business interfaces,16747.59,LATAM
101,Scale best-of-breed channels,7871.35,Asia
102,Revolutionize value-added models,27502.62,Asia
103,Enhance extensible web services,4843.98,North America
104,Transition e-business metrics,39398.56,Europe
105,Engage killer interfaces,45712.79,North America
106,Target cross-media communities,7481.93,North America
107,Mesh plug-and-play channels,3649.63,North America
108,Enable interactive architectures,31322.65,Europe
109,Generate visionary bandwidth,19294.25,Europe
110,Mesh back-end technologies,25873.05,Europe
111,Implement magnetic synergies,40513.24,North America
112,Re-contextualize customized experiences,40360.04,LATAM
113,Evolve global infrastructures,7408.23,LATAM
114,Disintermediate transparent niches,47840.21,Europe
115,Whiteboard 24/365 e-services,32662.29,Europe
116,Morph dynamic architectures,36678.73,Europe
117,Engage e-business models,42564.66,LATAM
118,Grow e-business niches,14139.51,LATAM
119,Drive open-source web-readiness,34455.96,North America
120,Disintermediate out-of-the-box e-commerce,39928.69,Europe
121,Streamline end-to-end infrastructures,32613.63,Europe
122,Incentivize virtual partnerships,8395.37,North America
123,Drive web-enabled e-services,40160.45,Europe
124,Syndicate ubiquitous vortals,15836.07,Europe
125,Harness efficient infrastructures,33059.46,North America
126,Brand clicks-and-mortar applications,44802.3,Asia
127,Architect cross-platform networks,30440.43,North America
128,Transform mission-critical supply-chains,17955.57,LATAM
129,Brand virtual paradigms,34751.66,North America
130,Redefine sticky channels,21081.45,LATAM
131,Drive value-added platforms,29116.22,North America
132,Re-intermediate bleeding-edge convergence,3407.99,North America
133,Grow leading-edge schemas,12210.72,Europe
134,Evolve innovative solutions,45121.1,North America
135,Streamline synergistic synergies,27957.29,LATAM
136,Integrate e-business markets,31082.33,North America
137,Strategize best-of-breed relationships,14816.17,North America
138,Streamline enterprise interfaces,1282.63,LATAM
139,Whiteboard enterprise e-tailers,40718.41,LATAM
140,Re-contextualize bleeding-edge networks,1734.02,North America
141,Productize revolutionary synergies,39048.27,Europe
142,Integrate wireless users,2779.41,LATAM
143,Productize front-end networks,17950.29,LATAM
144,Iterate b2b applications,43982.36,LATAM
145,Brand next-generation initiatives,38078.7,Asia
146,Transform seamless experiences,48692.74,North America
147,Iterate magnetic infrastructures,22251.46,Asia
148,Orchestrate efficient e-markets,4436.06,North America
149,Monetize plug-and-play web services,23274.63,North America
150,Scale front-end partnerships,21545.15,Asia
151,Grow virtual applications,18939.42,North America
152,Generate ubiquitous users,1009.74,LATAM
153,Synthesize cross-media e-commerce,32127.04,Asia
154,Cultivate end-to-end metrics,46269.66,North America
155,Benchmark synergistic interfaces,35820.77,Europe
156,Engage compelling platforms,27255.1,North America
157,Innovate innovative web-readiness,20597.1,LATAM
158,Re-contextualize turn-key synergies,39451.89,Europe
159,Disintermediate front-end applications,13504.25,Asia
160,Whiteboard cross-platform bandwidth,34286.0,LATAM
161,Utilize intuitive e-markets,8708.54,LATAM
162,Repurpose magnetic web-readiness,5012.34,Asia
163,Integrate value-added roi,16481.06,LATAM
164,Architect strategic web services,1524.21,Asia
165,Incubate distributed paradigms,11914.29,LATAM
166,Integrate cutting-edge markets,32440.07,Asia
167,Synergize distributed methodologies,42441.73,Asia
168,Re-intermediate holistic content,47626.05,LATAM
169,Seize dot-com functionalities,48871.73,North America
170,Expedite customized portals,19931.83,North America
171,Empower collaborative niches,28625.51,Asia
172,Transform robust solutions,3550.7,LATAM
173,Mesh best-of-breed action-items,8123.81,North America
174,Transition synergistic synergies,3057.0,Europe
175,Reinvent back-end action-items,23696.12,Europe
176,Disintermediate interactive communities,31352.95,LATAM
177,Brand viral deliverables,44997.84,LATAM
178,Transform turn-key metrics,18228.11,LATAM
179,Iterate e-business web services,8401.83,Europe
180,Incubate holistic deliverables,10301.35,Europe
181,Optimize granular bandwidth,11737.82,Europe
182,Redefine extensible applications,36875.06,North America
183,Engineer extensible info-mediaries,45500.81,Asia
184,Extend clicks-and-mortar vortals,43818.48,Europe
185,Evolve integrated web services,8435.63,North America
186,Enable mission-critical channels,2166.69,Europe
187,Facilitate e-business content,18746.69,North America
188,Incubate cutting-edge markets,18527.0,North America
189,Disintermediate mission-critical web services,16199.4,Europe
190,Engineer collaborative web services,39580.94,Asia
191,Implement global methodologies,24883.55,Europe
192,Seize customized roi,40937.28,LATAM
193,Aggregate virtual infrastructures,29343.03,North America
194,Iterate killer synergies,25330.53,Asia
195,Enhance mission-critical platforms,39309.68,Europe
196,Visualize real-time experiences,32987.5,North America
197,Syndicate sticky methodologies,44611.03,LATAM
198,Synergize impactful users,17783.55,North America
199,Exploit magnetic metrics,10291.27,Asia
200,Scale one-to-one architectures,37551.62,Europe
201,Revolutionize 24/7 markets,22875.43,LATAM
202,Syndicate web-enabled metrics,41996.38,LATAM
203,Innovate end-to-end networks,1952.45,North America
204,Utilize real-time relationships,13246.75,Europe
205,Aggregate user-centric partnerships,47856.82,Europe
206,Redefine bricks-and-clicks content,45288.98,Asia
207,Transition out-of-the-box solutions,34055.72,North America
208,Visualize cutting-edge niches,22246.19,Asia
209,Extend bleeding-edge schemas,30724.19,North America
210,Incubate granular e-tailers,20450.92,Asia
211,Disintermediate 24/365 synergies,12420.31,Europe
212,Scale dynamic infrastructures,8083.2,LATAM
213,Revolutionize holistic interfaces,2116.22,LATAM
214,Extend ubiquitous deliverables,19612.0,LATAM
215,Harness real-time synergies,7657.3,North America
216,Brand ubiquitous deliverables,24155.28,North America
217,Productize cross-platform web-readiness,21124.29,LATAM
218,Strategize impactful methodologies,2230.78,Asia
219,Integrate proactive methodologies,46829.81,Asia
220,Unleash compelling communities,30397.55,Europe
221,Synthesize distributed schemas,47683.73,North America
222,Seize rich networks,9731.75,Europe
223,Monetize user-centric portals,38278.62,North America
224,Drive customized partnerships,31630.1,LATAM
225,Engineer next-generation metrics,2086.91,Europe
226,Re-contextualize virtual applications,20779.77,Asia
227,Revolutionize synergistic schemas,2560.55,LATAM
228,Deploy seamless deliverables,2651.24,LATAM
229,Enable end-to-end roi,9330.77,North America
230,Redefine cross-platform initiatives,44639.62,Europe
231,Repurpose intuitive platforms,28453.66,North America
232,Generate end-to-end networks,22533.98,LATAM
233,Mesh dot-com web-readiness,45241.74,Europe
234,Exploit clicks-and-mortar communities,29689.49,North America
235,Facilitate strategic experiences,11777.92,North America
236,Visualize enterprise niches,7195.41,Europe
237,Aggregate open-source supply-chains,40916.75,Europe
238,Leverage b2c action-items,19697.33,Europe
239,Implement granular initiatives,37808.08,Asia
240,Visualize user-centric niches,24552.75,Europe
241,Disintermediate bleeding-edge schemas,28129.22,Asia
242,Incentivize next-generation mindshare,24243.19,North America
243,Visualize seamless markets,17273.16,Asia
244,Reinvent front-end networks,11350.36,Europe
245,Harness b2c e-tailers,15594.25,Europe
246,Architect global users,20094.17,Asia
247,Scale distributed e-markets,36063.34,North America
248,Target granular solutions,17054.89,North America
249,Orchestrate distributed content,43581.49,LATAM
250,Seize vertical content,32021.04,Europe
251,Optimize user-centric e-markets,38783.02,North America
252,Incentivize intuitive experiences,35113.79,LATAM
253,Synergize innovative content,44114.07,LATAM
254,Evolve innovative eyeballs,3530.51,Asia
255,Incubate clicks-and-mortar architectures,17761.49,Europe
256,Transform sticky experiences,47473.4,LATAM
257,Integrate scalable methodologies,12350.62,Europe
258,Optimize interactive deliverables,49783.95,Asia
259,Empower compelling infrastructures,31293.34,Europe
260,Transition leading-edge applications,37807.9,North America
261,Expedite world-class markets,9572.37,North America
262,Brand robust e-commerce,24670.28,Asia
263,Innovate world-class solutions,44956.88,Asia
264,Revolutionize clicks-and-mortar users,34918.97,LATAM
265,Whiteboard best-of-breed content,17666.27,Asia
266,Repurpose granular e-markets,20701.22,LATAM
267,Re-contextualize granular synergies,1926.84,LATAM
268,Disintermediate next-generation experiences,9131.6,LATAM
269,Redefine plug-and-play info-mediaries,15726.7,North America
270,Aggregate 24/7 experiences,38595.62,North America
271,Expedite real-time e-markets,36172.71,North America
272,Engage end-to-end infrastructures,48428.8,Europe
273,Synergize 24/7 portals,48535.77,Europe
274,Synergize e-business e-business,42138.59,North America
275,Deploy revolutionary roi,15930.67,Asia
276,Synthesize impactful info-mediaries,36617.59,Asia
277,Incubate viral e-markets,22842.1,Asia
278,Transform plug-and-play partnerships,25487.47,North America
279,Strategize virtual deliverables,43171.73,Europe
280,Orchestrate back-end users,3501.39,North America
281,Enhance revolutionary synergies,7319.35,North America
282,Maximize bricks-and-clicks applications,24159.3,LATAM
283,Benchmark synergistic e-commerce,49161.56,LATAM
284,Facilitate 24/365 models,28419.07,LATAM
285,Whiteboard one-to-one models,2487.73,LATAM
286,Cultivate killer action-items,47498.28,North America
287,Incentivize world-class experiences,26964.33,LATAM
288,Incubate open-source models,19871.23,LATAM
289,Optimize extensible vortals,20814.04,Asia
290,Reinvent next-generation functionalities,37904.29,LATAM
291,Generate proactive action-items,14334.2,Asia
292,Drive next-generation functionalities,29990.63,Europe
293,Synergize bricks-and-clicks functionalities,26551.63,LATAM
294,Engineer revolutionary e-tailers,1527.66,North America
295,Implement cross-platform solutions,30082.16,LATAM
296,Benchmark e-business e-markets,15876.35,Asia
297,Utilize turn-key users,8488.87,Asia
298,Target seamless partnerships,49119.02,Asia
299,Empower efficient experiences,39217.94,North America
300,Iterate synergistic convergence,31129.65,Europe
301,Monetize interactive platforms,16226.35,LATAM
302,Aggregate dot-com niches,31678.76,Europe
303,Visualize wireless convergence,38162.4,North America
304,Reinvent b2c paradigms,27741.06,Asia
305,Repurpose holistic eyeballs,43036.92,LATAM
306,Incentivize e-business solutions,17424.08,North America
307,Implement e-business markets,12295.99,North America
308,Leverage cross-platform markets,35017.59,Europe
309,Envisioneer global models,15623.52,Asia
310,Envisioneer leading-edge methodologies,33003.4,Europe
311,Monetize rich bandwidth,14974.87,Europe
312,Enable global e-tailers,26269.93,LATAM
313,Generate vertical synergies,29172.55,North America
314,Orchestrate impactful markets,4908.02,Asia
315,Synergize innovative eyeballs,33352.72,LATAM
316,Re-intermediate revolutionary systems,26697.13,Asia
317,Re-intermediate innovative mindshare,8941.36,LATAM
318,Optimize cutting-edge vortals,47735.06,North America
319,Drive scalable niches,27011.51,Europe
320,Grow magnetic mindshare,44290.28,North America
321,Re-contextualize e-business initiatives,29339.11,Asia
322,Integrate one-to-one channels,18113.71,Asia
323,Whiteboard virtual paradigms,9364.82,North America
324,Visualize mission-critical experiences,37314.77,North America
325,Optimize one-to-one deliverables,32564.02,LATAM
326,Innovate revolutionary initiatives,19006.46,Europe
327,Generate strategic models,12574.25,North America
328,Implement global vortals,6738.54,LATAM
329,Benchmark one-to-one synergies,40126.03,Asia
330,Re-contextualize turn-key e-business,1830.14,Europe
331,Transform customized infrastructures,2563.61,LATAM
332,Redefine rich markets,18103.0,Europe
333,Facilitate 24/365 systems,10916.72,LATAM
334,Facilitate real-time functionalities,35985.03,Asia
335,Facilitate frictionless metrics,24241.25,LATAM
336,Incentivize intuitive solutions,1562.1,LATAM
337,Mesh cutting-edge roi,13301.75,Asia
338,Iterate front-end e-business,11961.34,North America
339,Engineer global architectures,2518.28,Asia
340,Generate intuitive networks,43397.73,LATAM
341,Repurpose synergistic applications,29754.52,Europe
342,Architect mission-critical applications,16205.08,Europe
343,Seize revolutionary users,34728.52,LATAM
344,Implement frictionless web services,35687.59,North America
345,Enable 24/7 architectures,29170.74,North America
346,Streamline one-to-one solutions,42015.07,Asia
347,Expedite one-to-one models,10152.72,LATAM
348,Reinvent dot-com web services,18122.17,Europe
349,Maximize magnetic portals,12450.92,Asia
350,Re-intermediate rich action-items,29950.06,North America
351,Seize holistic e-tailers,31455.61,LATAM
352,Engage cutting-edge niches,14216.91,Asia
353,Morph compelling functionalities,25745.53,Europe
354,Enable killer infrastructures,44619.79,LATAM
355,Implement visionary e-services,28403.23,Asia
356,Transform bricks-and-clicks models,19343.45,Europe
357,Syndicate open-source e-services,29352.14,LATAM
358,Aggregate impactful e-commerce,16471.04,Europe
359,Deploy synergistic models,20521.82,North America
360,Whiteboard intuitive e-markets,30167.66,North America
361,Harness vertical partnerships,1093.99,LATAM
362,Repurpose efficient mindshare,46423.05,Asia
363,Engage wireless supply-chains,1098.4,North America
364,E-enable user-centric interfaces,32883.08,North America
365,Empower integrated synergies,6100.91,Europe
366,Innovate bricks-and-clicks architectures,15113.47,LATAM
367,Facilitate wireless applications,23756.44,Asia
368,Matrix next-generation portals,3200.88,Europe
369,Innovate distributed users,30793.02,Europe
370,Orchestrate rich experiences,12808.3,Asia
371,Aggregate integrated e-commerce,16041.24,Asia
372,Integrate b2c info-mediaries,18931.81,LATAM
373,Evolve revolutionary functionalities,41574.73,LATAM
374,Benchmark real-time vortals,45436.4,LATAM
375,Repurpose dynamic roi,45659.0,Europe
376,Innovate turn-key schemas,22332.27,North America
377,Engage front-end initiatives,39211.86,LATAM
378,Evolve dot-com deliverables,18246.27,Asia
379,Productize strategic e-commerce,12767.84,LATAM
380,Synthesize cutting-edge roi,38279.93,North America
381,Harness back-end platforms,36197.02,North America
382,Re-intermediate viral channels,48796.54,Asia
383,Integrate integrated paradigms,23623.47,Europe
384,Whiteboard bricks-and-clicks e-markets,10643.79,North America
385,Harness visionary paradigms,38726.95,LATAM
386,Incubate customized infrastructures,14224.71,Asia
387,Generate cross-media methodologies,38153.9,Asia
388,Envisioneer 24/365 info-mediaries,27355.32,North America
389,Enable b2b mindshare,9688.27,LATAM
390,Cultivate mission-critical niches,26701.5,North America
391,Re-intermediate frictionless e-markets,41682.9,Europe
392,Productize innovative relationships,42375.11,Asia
393,Leverage seamless schemas,49707.54,LATAM
394,Generate global eyeballs,12527.29,North America
395,Incentivize end-to-end functionalities,18606.16,LATAM
396,Deploy granular systems,1344.95,Asia
397,Transition wireless e-tailers,1979.94,LATAM
398,Engage cutting-edge e-business,9923.39,Asia
399,Incubate e-business technologies,17620.45,Asia
400,Leverage viral infrastructures,21405.48,Europe
401,Syndicate bleeding-edge solutions,15978.91,North America
402,Repurpose virtual communities,4247.61,North America
403,Transition robust e-tailers,46062.05,North America
404,Streamline strategic bandwidth,43634.44,Asia
405,Evolve user-centric deliverables,12705.16,Europe
406,Extend world-class schemas,21211.28,Asia
407,Cultivate cross-media bandwidth,4217.05,LATAM
408,Target scalable partnerships,6492.14,North America
409,Iterate distributed bandwidth,26221.29,Asia
410,Cultivate cross-media web services,21290.08,LATAM
411,Empower revolutionary eyeballs,18074.93,North America
412,Matrix mission-critical networks,49930.85,Asia
413,Transition dynamic partnerships,23300.45,Europe
414,Evolve mission-critical paradigms,42817.26,Europe
415,Disintermediate holistic paradigms,46792.61,Asia
416,Utilize efficient content,2235.63,North America
417,Matrix compelling markets,4735.34,Asia
418,Engage next-generation bandwidth,12229.11,LATAM
419,Envisioneer killer action-items,35752.65,Europe
420,Visualize compelling web services,5046.0,LATAM
421,Revolutionize holistic markets,5010.74,Asia
422,Disintermediate user-centric metrics,31704.37,Europe
423,Whiteboard strategic web-readiness,1931.42,LATAM
424,Synthesize visionary web services,28371.01,Europe
425,Brand open-source users,22444.18,Europe
426,Synergize mission-critical roi,21197.95,North America
427,Maximize innovative relationships,28376.57,LATAM
428,Re-contextualize back-end e-commerce,35675.97,Europe
429,Envisioneer cutting-edge portals,42134.37,North America
430,Re-contextualize dynamic eyeballs,41139.43,Europe
431,Embrace 24/365 e-commerce,39265.6,North America
432,Generate rich architectures,38501.03,North America
433,Matrix magnetic partnerships,15142.2,LATAM
434,Integrate bleeding-edge functionalities,5153.43,North America
435,Disintermediate distributed niches,32743.18,North America
436,Revolutionize turn-key initiatives,36625.28,Asia
437,Embrace vertical solutions,34719.42,LATAM
438,Scale distributed portals,28348.44,Asia
439,Leverage dynamic info-mediaries,23856.73,Europe
440,Incubate out-of-the-box synergies,14763.65,LATAM
441,Enable cross-media deliverables,18848.36,LATAM
442,Synthesize efficient models,2238.93,Europe
443,Generate magnetic synergies,3299.75,North America
444,Repurpose collaborative content,21700.12,Europe
445,Incubate compelling applications,38629.12,Asia
446,Incentivize plug-and-play systems,7513.89,Asia
447,Syndicate enterprise e-commerce,45472.1,LATAM
448,Utilize 24/7 roi,12824.06,Europe
449,Optimize one-to-one experiences,30436.1,North America
450,Syndicate intuitive functionalities,2485.28,North America
451,Strategize visionary experiences,27764.53,Europe
452,Exploit granular web-readiness,2312.73,Asia
453,Disintermediate scalable users,33197.32,Europe
454,Deploy clicks-and-mortar systems,47309.26,Asia
455,Whiteboard wireless vortals,9296.03,Asia
456,Unleash compelling initiatives,28953.71,Europe
457,Matrix value-added channels,6275.05,Europe
458,Expedite holistic networks,41300.62,Europe
459,E-enable turn-key systems,11524.94,North America
460,Synthesize scalable e-commerce,28979.92,Asia
461,Exploit impactful systems,8119.95,Europe
462,Optimize distributed web-readiness,30186.18,LATAM
463,Redefine viral solutions,8670.29,Europe
464,Transition wireless deliverables,34244.18,Asia
465,Strategize open-source solutions,3492.56,Europe
466,Optimize clicks-and-mortar interfaces,6763.45,Asia
467,Extend distributed channels,27864.42,LATAM
468,Strategize next-generation interfaces,32922.65,Europe
469,Target cross-platform paradigms,28959.8,Europe
470,Benchmark bricks-and-clicks e-services,13286.81,Asia
471,Envisioneer global deliverables,4098.65,North America
472,Target efficient networks,26978.56,Europe
473,Morph customized action-items,14344.66,North America
474,Brand e-business portals,47040.26,Europe
475,Matrix plug-and-play initiatives,26650.33,Asia
476,Mesh granular e-tailers,48683.19,Asia
477,E-enable scalable e-business,4775.99,Europe
478,Mesh holistic infrastructures,37720.79,Asia
479,Morph 24/7 platforms,39033.38,LATAM
480,Cultivate plug-and-play functionalities,21135.18,Asia
481,Incubate synergistic markets,43249.39,LATAM
482,Orchestrate granular functionalities,4127.67,Europe
483,Enhance innovative supply-chains,14077.29,Europe
484,Exploit back-end web services,29769.9,North America
485,Re-intermediate b2c methodologies,28054.91,Europe
486,Empower 24/7 portals,1701.88,Asia
487,Seize interactive channels,38847.58,North America
488,E-enable front-end networks,40863.2,North America
489,Empower leading-edge mindshare,32981.72,North America
490,Deploy plug-and-play partnerships,36961.53,Asia
491,Orchestrate next-generation content,28513.27,Europe
492,Seize synergistic convergence,7101.84,Europe
493,Harness enterprise e-markets,20072.14,Europe
494,Visualize visionary partnerships,14447.09,Europe
495,Facilitate interactive models,49744.14,North America
496,Synergize distributed e-business,37807.97,Europe
497,Reinvent end-to-end architectures,9480.63,LATAM
498,Maximize synergistic methodologies,19627.29,LATAM
499,Whiteboard seamless metrics,5853.12,LATAM
